iter	Passed	Remaining
0	537	536575
1	861	429707
2	1207	401176
3	1585	394775
4	1942	386591
5	2317	383880
6	2663	377814
7	3002	372331
8	3358	369833
9	3710	367355
10	4055	364633
11	4377	360390
12	4735	359502
13	5088	358359
14	5488	360418
15	5822	358073
16	6168	356704
17	6527	356138
18	6899	356223
19	7256	355591
20	7631	355759
21	7987	355080
22	8374	355740
23	8789	357422
24	9185	358241
25	9642	361228
26	10053	362294
27	10404	361193
28	10852	363370
29	11238	363377
30	11676	364995
31	12088	365681
32	12502	366354
33	12881	365982
34	13281	366196
35	13680	366344
36	14085	366606
37	14468	366290
38	14867	366350
39	15295	367081
40	15807	369742
41	16222	370023
42	16651	370582
43	17093	371401
44	17501	371431
45	17983	372970
46	18566	376461
47	19150	379815
48	19649	381353
49	20129	382454
50	20620	383698
51	21150	385584
52	21663	387078
53	22041	386137
54	22411	385078
55	22837	384983
56	23226	384248
57	23693	384823
58	24181	385671
59	24652	386229
60	25065	385837
61	25467	385299
62	25839	384311
63	26259	384045
64	26606	382722
65	26945	381322
66	27255	379547
67	27558	377714
68	27869	376042
69	28186	374477
70	28506	372993
71	28822	371486
72	29191	370694
73	29573	370068
74	29979	369749
75	30407	369689
76	30863	369959
77	31267	369593
78	31656	369062
79	32016	368186
80	32349	367028
81	32705	366138
82	33040	365041
83	33404	364265
84	33774	363567
85	34140	362838
86	34486	361914
87	34855	361227
88	35225	360565
89	36020	364210
90	37634	375929
91	38872	383657
92	40245	392505
93	41433	399346
94	42701	406783
95	43906	413457
96	45141	420238
97	46337	426493
98	47529	432562
99	48747	438730
100	50008	445128
101	51533	453695
102	53135	462747
103	54617	470546
104	56114	478306
105	57638	486121
106	59072	493008
107	60581	500361
108	62142	507971
109	63625	514786
110	65155	521829
111	66630	528283
112	68429	537142
113	69887	543162
114	71414	549580
115	73121	557237
116	74822	564685
117	76311	570399
118	77547	574109
119	78380	574787
120	79269	575851
121	80036	576003
122	82031	584891
123	84015	593528
124	85922	601460
125	87078	604018
126	87459	601196
127	87881	598689
128	88285	596097
129	88658	593328
130	89041	590662
131	89411	587949
132	89782	585270
133	90176	582780
134	90524	580030
135	90885	577391
136	91235	574718
137	91579	572042
138	91958	569610
